00:00:00.001119 main     VirtualBox XPCOM Server 7.2.4 r170995 linux.amd64 (Oct 22 2025 16:59:14) release log
00:00:00.001123 main     Log opened 2025-11-23T22:37:48.336255000Z
00:00:00.001124 main     Build Type: release
00:00:00.001129 main     OS Product: Linux
00:00:00.001131 main     OS Release: 6.17.8-arch1-1
00:00:00.001133 main     OS Version: #1 SMP PREEMPT_DYNAMIC Fri, 14 Nov 2025 06:54:20 +0000
00:00:00.001207 main     DMI Product Name: Laptop 13 (AMD Ryzen 7040Series)
00:00:00.001230 main     DMI Product Version: A5
00:00:00.001243 main     Firmware type: UEFI
00:00:00.001671 main     Secure Boot: Disabled
00:00:00.001747 main     Host RAM: 31390MB (30.6GB) total, 19506MB (19.0GB) available
00:00:00.001750 main     Executable: /usr/lib/virtualbox/VBoxSVC
00:00:00.001750 main     Process ID: 1230828
00:00:00.001751 main     Package type: LINUX_64BITS_GENERIC (OSE)
00:00:00.013241 main     IPC socket path: /tmp/.vbox-densentrated-ipc/ipcd
00:00:00.026685 DCon01   VirtualBox: object creation starts
00:00:00.028072 DCon01   Home directory: '/home/densentrated/.config/VirtualBox'
00:00:00.029951 DCon01   Loading settings file "/home/densentrated/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:00.040280 DCon01   Successfully initialised host USB using sysfs
00:00:00.060170 DCon01   NetIfAdpCtlOut: VBoxNetAdpCtl: Error while retrieving link speed for wlan0: VBoxNetAdpCtl: ioctl failed: Operation not supported
00:00:00.064167 DCon01   HostDnsMonitor: initializing
00:00:00.065122 DCon01   NAT: resolv.conf: nameserver 155.33.2.1
00:00:00.065153 DCon01   NAT: resolv.conf: nameserver 155.33.2.2
00:00:00.065196 DCon01   HostDnsMonitor: updating information
00:00:00.065209 DCon01   HostDnsMonitor: old information
00:00:00.065211 DCon01     no server entries
00:00:00.065214 DCon01     no domain set
00:00:00.065215 DCon01     no search string entries
00:00:00.065218 DCon01   HostDnsMonitor: new information
00:00:00.065220 DCon01     server 1: 155.33.2.1
00:00:00.065223 DCon01     server 2: 155.33.2.2
00:00:00.065226 DCon01     domain: neu.edu
00:00:00.065228 DCon01     search string 1: neu.edu
00:00:00.116747 DCon01   VD: VDInit finished with VINF_SUCCESS
00:00:00.121177 DCon01   Platform architecture set to 'x86'
00:00:00.124418 DCon01   Loading settings file "/home/densentrated/VirtualBox VMs/Ubuntu-Hubstaff/Ubuntu-Hubstaff.vbox" with version "1.19-linux"
00:00:00.125848 DCon01   Platform architecture set to 'x86'
00:00:00.127181 DCon01   Platform architecture set to 'x86'
00:00:00.127721 DCon01   Loading settings file "/home/densentrated/VirtualBox VMs/Parrot OS 6.4 MATE Security Edition/Parrot OS 6.4 MATE Security Edition.vbox" with version "1.19-linux"
00:00:00.127906 DCon01   Platform architecture set to 'x86'
00:00:00.128871 DCon01   VirtualBox: object created
00:00:01.188985 DCon03   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
00:01:08.677001 DCon08   Launched VM: 604418768 pid: 1233052 (0x12d09c) frontend: GUI/Qt name: Parrot OS 6.4 MATE Security Edition
00:01:08.742606 DCon04   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
00:01:09.076502 DCon12   Platform architecture set to 'x86'
00:01:09.107212 DCon12   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
00:01:09.949399 DCon09   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={83cfdc66-4f20-4569-ad39-8722f7d472b3} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
00:01:09.992196 DCon09   NetIfAdpCtlOut: VBoxNetAdpCtl: Error while retrieving link speed for wlan0: VBoxNetAdpCtl: ioctl failed: Operation not supported
00:01:10.074718 DCon08   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Starting)}, preserve=false aResultDetail=0
00:01:10.084573 DCon09   NetIfAdpCtlOut: VBoxNetAdpCtl: Error while retrieving link speed for wlan0: VBoxNetAdpCtl: ioctl failed: Operation not supported
00:01:10.145767 DCon09   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={83cfdc66-4f20-4569-ad39-8722f7d472b3} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
00:01:10.328333 DCon09   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={7d510820-a678-4730-a862-818dcd3fbed0} aComponent={MediumWrap} aText={Property 'CRYPT/KeyId' does not exist}, preserve=false aResultDetail=0
00:01:10.329866 DCon09   HostDnsMonitorProxy::GetDomainName: neu.edu
00:01:10.329999 DCon09   HostDnsMonitorProxy::GetNameServers:
00:01:10.330012 DCon09     name server 1: 155.33.2.1
00:01:10.330017 DCon09     name server 2: 155.33.2.2
00:01:10.330133 DCon09   HostDnsMonitorProxy::GetSearchStrings:
00:01:10.330135 DCon09     search string 1: neu.edu
00:01:10.722356 DCon10   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={83cfdc66-4f20-4569-ad39-8722f7d472b3} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
00:01:10.753560 DCon10   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:01:11.424056 DCon08   Saving settings file "/home/densentrated/VirtualBox VMs/Parrot OS 6.4 MATE Security Edition/Parrot OS 6.4 MATE Security Edition.vbox" with version "1.19-linux"
